Created_Time,Updated_Time,ABC News,Message,Comment_Count
2020-11-19T00:20:28+0000,2020-11-20T19:46:00+0000,ABC News,"""Thanks to poll workers, elections are possible.""  US poll workers are usually over 60, but this year record numbers of young people took up the job. We asked some why they wanted to get involved.  bbc.in/US2020Guide",0
2020-11-19T15:43:05+0000,2020-11-20T19:30:57+0000,ABC News,#KarismaKapoor is revisiting throwback memories   (Image courtesy: Instagram),3
2020-11-19T15:07:56+0000,2020-11-20T19:18:48+0000,ABC News,"""Beach/Birthday Baby,"" #TaraSutaria captioned her post  (Image courtesy: Instagram)",0
2020-11-19T14:53:36+0000,2020-11-20T19:08:30+0000,ABC News,"""Smell the sea, feel the sky, let your soul and spirit fly,"" wrote #RakulPreetSingh  (Image courtesy: Instagram)",8
2020-11-19T14:49:26+0000,2020-11-20T18:30:52+0000,ABC News,"China has established a village 2 km within Bhutan's territory, very close to Doklam where the Chinese and Indian militaries had a tense standoff in 2017, images posted by a senior journalist with the Chinese state media showed on Thursday. In tweets that have since been deleted, Shen Shiwei, a senior producer with Chinese CGTN News, posted the images this morning of the village established in what he said was the Doklam area and later indicated the precise location of the settlement.",10
2020-11-19T14:41:32+0000,2020-11-20T19:46:44+0000,ABC News,Shah Rukh Khan was spotted at a Mumbai studio recently  (Image courtesy: Twitter),12
2020-11-19T14:30:43+0000,2020-11-20T18:49:51+0000,ABC News,The move is particularly worrying for India since it is responsible for the territorial integrity of Bhutan which mains a limited armed force.,10
2020-11-19T14:00:32+0000,2020-11-20T18:19:45+0000,ABC News,"""I always look forward to catching up with you,"" wrote #CharuAsopa  (Image courtesy: Instagram)",0
2020-11-19T13:53:20+0000,2020-11-20T18:16:45+0000,ABC News,Hint: Not Saif Ali Khan  (Image courtesy: Instagram),1
2020-11-19T13:48:26+0000,2020-11-20T18:23:33+0000,ABC News,"Competition was fierce among Jungkook (South Korea), Dan Levy (Canada), Keith Urban (Australia), Matthew Rhys (Wales) and Paul Mescal (Ireland) for People Magazine’s Sexiest International Man 2020 - but the BTS star took home the win. . . . #bts #jungkook #sexiestman",96
2020-11-19T13:46:12+0000,2020-11-20T18:11:53+0000,ABC News,Ahmedabad night curfew: It will come into effect from Friday and will stay on indefinitely as COVID-19 cases rise,2
2020-11-19T13:31:34+0000,2020-11-20T18:08:11+0000,ABC News,"The forum will include a two-day virtual conference on renewable and future energy choices and an exhibition of manufacturers, developers, investors and innovators engaged in the clean energy sector.",9
2020-11-19T15:07:56+0000,2020-11-20T18:04:17+0000,ABC News,"The resolution recognised the significance of the genuine autonomy of Tibet and the Tibetan people, and the work done by 14th Dalai Lama to promote global peace, harmony and understanding.",0
2020-11-19T14:53:36+0000,2020-11-20T17:59:52+0000,ABC News,#KarismaKapoor is revisiting throwback memories   (Image courtesy: Instagram),18
2020-11-19T14:49:26+0000,2020-11-20T17:58:43+0000,ABC News,"""Beach/Birthday Baby,"" #TaraSutaria captioned her post  (Image courtesy: Instagram)",1
