timestamp,tweet_text,username,all_hashtags,followers_count
2020-11-19 15:50:31,b'D-DAY @BTS_twt #BEisComing',b'btsarmycalaca',['BEisComing'],249
2020-11-19 15:50:31,b'MY TEAR DUCTS AND EAR DRUMS ARE READY KINGS #BETODAY #BEisComing  @BTS_twt',b'honeybearvante',"['BETODAY', 'BEisComing']",560
2020-11-19 15:50:30,b'#BEisComing  #BETODAY      OMG YESSS please',b'arxhisha2020',"['BEisComing', 'BETODAY']",0
2020-11-19 15:50:29,b'SOULMATES UNIT SOPE VMIN  #BEisComing  @BTS_twt https://t.co/mdaAVFr3Ki',b'forever_purple7',['BEisComing'],421
2020-11-19 15:50:28,b'alternative hip hop and acoustic is my ultimate vibe \xf0\x9f\x98\xad\xf0\x9f\x92\x9c #BEisComing https://t.co/TGooYBSnhK',b'jil1013',['BEisComing'],183
2020-11-19 15:50:28,"b'""Fly to My Room"" is a unit track featuring SUGA, j-hope, Jimin and V \xe2\x80\x9cBlue &amp; Grey\xe2\x80\x9d is a guitar-filled pop ballad  \xe2\x80\x9cTelepathy\xe2\x80\x9d is ""filled with funky rhythm""  \xe2\x80\x9cDis-ease\xe2\x80\x9d is old school hip-hop \xe2\x80\x9cStay\xe2\x80\x9d is RM, Jin, &amp; JK\xe2\x80\x99s unit track  GASABARRR YA TUHAN \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad  @BTS_twt #BEisComing'",b'taetaevbo',['BEisComing'],821
2020-11-19 15:50:27,b'STAY NAMJINKOOK YALL #BetoDay #BEisComing @BTS_twt https://t.co/eUwr0xHx8O',b'jkkei',"['BetoDay', 'BEisComing']",116
2020-11-19 15:50:27,"b""My Joy My Sun I love You I'm too excited to end the year in the most beautiful way Thank you L-ARMY \xf0\x9f\x87\xbb\xf0\x9f\x87\xaa \xf0\x9f\x98\x98@BTS_twt  @bts_bighit #BTS  #\xeb\xb0\xa9\xed\x83\x84\xec\x86\x8c\xeb\x85\x84\xeb\x8b\xa8 #BTS_BE #bts\xf0\x93\x82\xb8 #BTSARMY #BTSMusicInnovator #be #BEisComing https://t.co/Etf6Mck4nI""",b'Vminjina7',"['BTS', '방탄소년단', 'BTS_BE', 'bts𓂸', 'BTSARMY', 'BTSMusicInnovator', 'be', 'BEisComing']",7
2020-11-19 15:50:27,"b""It's #BTS_BE D-Day! #BTS_BEisCOMING #\xeb\xb0\xa9\xed\x83\x84\xec\x86\x8c\xeb\x85\x84\xeb\x8b\xa8 #BEisComing""",b'vanillalattaee',"['BTS_BE', 'BTS_BEisCOMING', '방탄소년단', 'BEisComing']",423
2020-11-19 15:50:27,"b'spread this, ami &lt;3 #BETODAY #BEisComing https://t.co/CcoFlGSEEE'",b'jeonberies',"['BETODAY', 'BEisComing']",2761
2020-11-19 15:50:27,b'party at my backyard today #BETODAY #BEisComing @BTS_twt https://t.co/rGcERgLGgl',b'pattaessi',"['BETODAY', 'BEisComing']",2718
2020-11-19 15:50:26,b'Today is D-DAY #BEisComing',b'nueyr_',['BEisComing'],197
2020-11-19 15:50:25,b'Eu    \xf0\x9f\xa4\x9d    Worldwide Handsome .                \xe2\x98\x85     .           *    *    .      *.          *    .   \xe2\x98\x84  .        \xe2\x98\x85     .      *       \xe2\x80\xa2     .    .                \xe2\x98\x85     .           *          *    .      *.          *    .   \xe2\x98\x84     #BEselcaDay #BEisComing https://t.co/7MGR54Kfp2',b'purple_y00n',"['BEselcaDay', 'BEisComing']",11
2020-11-19 15:50:23,"b'""Fly to My Room"" is SoPeVMin   and when yoongi raps plus jimin sings and hobi raps plus taehyung sings= killing me by their harmonizations.  #BTS_BE #BETODAY #BEisComing @BTS_twt'",b'Vlust_',"['BTS_BE', 'BETODAY', 'BEisComing']",3603
2020-11-19 15:50:22,b'JHS as KTH \xe2\x9d\xa5\xcb\x99  #BEselcaDay #BEisComing @BTS_twt https://t.co/6jdKzH7btG',b'parkgcfjk',"['BEselcaDay', 'BEisComing']",3154
2020-11-19 15:50:19,"b'\xe2\x80\x9cYou know  We were always meant to be, destiny\xe2\x80\x9d                  ( Kim Namjoon - Trivia: Love )   [#BEselcaDay #BEisComing @BTS_twt ] https://t.co/n9UcrnHIZ4'",b'sarangjjk1',"['BEselcaDay', 'BEisComing']",1755
2020-11-19 15:50:18,b'#ArmyBts + #BTSARMY I Purple You.  #BEisComing  #Be #BTS_BE #LifeGoesOn #LifeGoesONisComing #LifeGoesOnTeaser2  #LifeGoesOnTeaser1 https://t.co/0Pjop0iLnk',b'DollyBTSBros',"['ArmyBts', 'BTSARMY', 'BEisComing', 'Be', 'BTS_BE', 'LifeGoesOn', 'LifeGoesONisComing', 'LifeGoesOnTeaser2', 'LifeGoesOnTeaser1']",180
2020-11-19 15:50:18,"b'How did we get lucky enough to have this team of artists who so purely love us and involve us in their craft, their life, their minds, and their hearts? HOW @BTS_twt #BEisComing'",b'iluvpandaxpress',['BEisComing'],2169
2020-11-19 15:50:17,b'Ami when BTS comeback:)  #BEisComing #BTS_BE #1DaysBEforeBE #LifeGoesOn https://t.co/GJxL5Xa9Yf',b'LBoChn2',"['BEisComing', 'BTS_BE', '1DaysBEforeBE', 'LifeGoesOn']",434
2020-11-19 15:50:17,"b""Finally!!! It's D-DAY!!!!!!! \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3 IT'S BE DAY!! CAUSE BE IS OUT TODAY!!! #BEisComing #BETODAY \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c""",b'NayelaS_BTS',"['BEisComing', 'BETODAY']",131
2020-11-19 15:50:17,b'#BEisComing D-Day \xf0\x9f\xa5\xb3',b'archiiveKTH',['BEisComing'],4
2020-11-19 15:50:17,b'@mygtrivias ARMY WORLDWIDE READY FOR BE  #BETODAY #BEisComing #\xeb\xb0\xa9\xed\x83\x84\xec\x86\x8c\xeb\x85\x84\xeb\x8b\xa8  @BTS_twt @bts_bighit https://t.co/QeDq93OUgf',b'Lajib0_lala',"['BETODAY', 'BEisComing', '방탄소년단']",273
2020-11-19 15:50:15,"b'The songs details alone already gave me goosebumps so HOW AM I GONNA STAY SANE TOMORROW?! I mean, later. #BETODAY #BEisComing @BTS_twt'",b'mochinis',"['BETODAY', 'BEisComing']",405
2020-11-19 15:50:14,"b""O M G! I'm starting to get nervous !  I love this feeling before comeback .  Hshdhdbdjkdkiv   #LifeGoesOn #BEisComing  #BTS_BE https://t.co/74qmMB9kml""",b'kbdlxx',"['LifeGoesOn', 'BEisComing', 'BTS_BE']",86
2020-11-19 15:50:13,b'Im not ready im not ready im not ready   @BTS_twt #BEisComing   #BETODAY https://t.co/Twi3wLLFNn',b'97JustGolden',"['BEisComing', 'BETODAY']",431
2020-11-19 15:50:13,b'I\xe2\x80\x99m just so happy being an ARMY \xf0\x9f\x92\x9c#BEisComing',b'zamantha_grace',['BEisComing'],424
2020-11-19 15:50:12,b'\xe2\x99\xa1\xcc\xb8 BE \xf0\x9d\x98\xaa\xf0\x9d\x98\xb4 \xf0\x9d\x98\xa4\xf0\x9d\x98\xb0\xf0\x9d\x98\xae\xf0\x9d\x98\xaa\xf0\x9d\x98\xaf\xf0\x9d\x98\xa8 !     #BEselcaDay @BTS_twt  #BEisComing #BEArmy https://t.co/fEiFMZFgk4',b'vminglitter',"['BEselcaDay', 'BEisComing', 'BEArmy']",4366
2020-11-19 15:50:11,b'This subunit!!\xf0\x9f\x98\x8d Most handsome Man in world Kim Taehyung and Sexiest Man in world Jeon Jungkook..... playing with Slime!\xf0\x9f\x98\x82 Omo these babies!!\xf0\x9f\x99\x88\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c  #BEisComing #BEToday #BTS #BTSARMY #RunBtS #Taekook @BTS_twt #BTS_BE #BTS_BEisCOMING https://t.co/Twml6aDpXm',b'the_infernogirl',"['BEisComing', 'BEToday', 'BTS', 'BTSARMY', 'RunBtS', 'Taekook', 'BTS_BE', 'BTS_BEisCOMING']",74
2020-11-19 15:50:10,b'Fly To My Room is going to be fire. Just watch. You can\xe2\x80\x99t have sope and vmin on one track and it not be the best song in the world.  BE OUT TONIGHT . #BEisComing',b'btsdoesitbetter',['BEisComing'],15
2020-11-19 15:50:09,b'AND WE WILL BE LISTENING #BEisComing',b'hitmakerbts',['BEisComing'],70
2020-11-19 15:50:09,b'less than 24 hours #BEisComing',b'nueyr_',['BEisComing'],197
2020-11-19 15:50:09,b'Omg Im more exicted rn! 13 hrs left!!! #BEisComing',b'_Eunyi_',['BEisComing'],40
2020-11-19 15:50:07,b'BE official press release sopevmin namjinkook Skit  Excuse me while I take a moment to process.  #BEISCOMING #BETODAY #BTS_BE  @BTS_twt https://t.co/RfcyDV00Ps',b'bangbangbonz',"['BEISCOMING', 'BETODAY', 'BTS_BE']",462
2020-11-19 15:50:06,b'So exciteddddd   \xe2\x80\x9cBlue &amp; Grey\xe2\x80\x9d is a guitar-filled pop ballad     #BEisComing #BETODAY #BTS_BE   https://t.co/vWYXsVmHBI',b'ihappyxx',"['BEisComing', 'BETODAY', 'BTS_BE']",131
2020-11-19 15:50:04,b'Sope deep rap and Vmin delicate voices I am not ready  #BETODAY #BEisComing',b'alicalicocat',"['BETODAY', 'BEisComing']",4
2020-11-19 15:50:04,"b""I feel this way every new BTS album, but THIS album is going to feel completely different! I can't wait! #BEisComing #BTS_BE @BTS_twt https://t.co/WIEakc62Go""",b'tsc0130',"['BEisComing', 'BTS_BE']",358
2020-11-19 15:50:04,b'i\xe2\x80\x99m so fucking pumped i can\xe2\x80\x99t continue this any longer just drop the fucking album yeah #BEisComing',b'bossibal',['BEisComing'],6
2020-11-19 15:50:03,b'BE IS COMING       BE IS COMING BE                  BE   BE  BE                   BE  BE BE                  BE   BE BE IS COMING       BE IS COMING BE                  BE   BE BE                   BE  BE BE                  BE   BE  BE IS COMING       BE IS COMING #BEisComing https://t.co/Siegj6GK9c',b'_Vanteblog',['BEisComing'],469
