timestamp,tweet_text,username,all_hashtags,followers_count
2020-11-19 04:32:19,b'@nasirqu0565 Success delayed is never success denied. #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY  @theicai \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',b'AmanSofficial',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY']",78
2020-11-19 04:32:15,b'Success delayed is never success denied. #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY  @theicai \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/iTEs5hq3ff',b'AmanSofficial',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY']",78
2020-11-19 04:32:08,b'Please help us...#aajtak #abpnews #timesofindia #ICAI_DENIES_SAFTEY #ICAI_DENIES_EQUALITY #icaiexamspostponment #icai',b'Neel46631465',"['aajtak', 'abpnews', 'timesofindia', 'ICAI_DENIES_SAFTEY', 'ICAI_DENIES_EQUALITY', 'icaiexamspostponment', 'icai']",0
2020-11-19 04:32:07,b'@nasirqu0565 @pmo Success delayed is never success denied. #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY  @theicai \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',b'AmanSofficial',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY']",78
2020-11-19 04:32:04,"b'@OfficeOfDGP @theicai Sir EIS m chap 4 hai... E-COMMERCE, M-COMMERCE online shopping naam ki cheez hai duniya m\xf0\x9f\x98\x8a JEE/NEET WAS 1 DAY PAPER AND ICAI IS CONDUCTING 18-20 DAYS PPR  DONT COMPARE CA EXAMS WITH JEE/NEET  #ICAI_DENIES_SAFTEY  #ICAI_DENIES_SAFETY'",b'Soni_shruti12',"['ICAI_DENIES_SAFTEY', 'ICAI_DENIES_SAFETY']",10
2020-11-19 04:32:03,b'Success delayed is never success denied. #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY  @theicai \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/OWh95B3Ff8',b'AmanSofficial',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY']",78
2020-11-19 04:31:46,b'@nasirqu0565 @theicai Success delayed is never success denied. #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY  @theicai \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',b'AmanSofficial',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY']",78
2020-11-19 04:31:44,b'#ICAI_DENIES_SAFTEY #ICAI_DENIES_EQUALITY  #icaiexamspostponment  Student still trying to postpone CA exams  Le JEE/NEET student- https://t.co/IWchswBGpu',b'SIR_SARTHAKK',"['ICAI_DENIES_SAFTEY', 'ICAI_DENIES_EQUALITY', 'icaiexamspostponment']",8
2020-11-19 04:31:38,"b""Shame on icai. Postpone exams for one month and make proper arrangements. 1 month will won't harm anyone. #icai #ICAI_DENIES_SAFTEY https://t.co/RcUQLEwLgo""",b'Rahul56587',"['icai', 'ICAI_DENIES_SAFTEY']",5
2020-11-19 04:31:36,b'Admit Card ka print out la aoo na ....agar admit Card ka matter final ho gya ho to #beloved_ccm #ICAI_DENIES_EQUALITY #ICAI_DENIES_SAFTEY #ICAI #ICAI_NOT_PREPARED',b'AmitKum92852909',"['beloved_ccm', 'ICAI_DENIES_EQUALITY', 'ICAI_DENIES_SAFTEY', 'ICAI', 'ICAI_NOT_PREPARED']",8
2020-11-19 04:31:35,b'Success delayed is never success denied. #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY  @theicai \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/6RVwC8zWcl',b'AmanSofficial',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY']",78
2020-11-19 04:31:19,b'Success delayed is never success denied. #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY  @theicai \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/WQft0d1gor',b'AmanSofficial',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY']",78
2020-11-19 04:31:14,"b'""If you fail to plan then you plan to fail"" should be written on every business card and communication letter of CCMs and President.    ICAI EXAM #ICAI_DENIES_SAFTEY #ICAI_DENIES_EQUALITY'",b'iyer_ramakant',"['ICAI_DENIES_SAFTEY', 'ICAI_DENIES_EQUALITY']",4
2020-11-19 04:31:01,"b""@IMinakshiJoshi Ma'am help CA students  #ICAI_DENIES_SAFTEY  #ICAI_DENIES_EQUALITY  #icaiexamspostponment""",b'kashu20july',"['ICAI_DENIES_SAFTEY', 'ICAI_DENIES_EQUALITY', 'icaiexamspostponment']",5
2020-11-19 04:30:55,b'@nasirqu0565 @ArvindKejriwal @PMOIndia Success delayed is never success denied. #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY  @theicai \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',b'AmanSofficial',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY']",78
2020-11-19 04:30:53,b'#icaiexam @nsitharaman #ICAI_DENIES_JUSTICE  #ICAI_DENIES_EQUALITY  #ICAI_DENIES_SAFETY  #ICAI_DENIES_SAFTEY   Sitharaman: ICAI DENIES JUSTICE AND SAFTY FOR CA STUDENTS EXAMINATION TO BE HELF FROM 21 NOVEMBER - Sign the Petition! https://t.co/Gd5BB8KyRf via @ChangeOrg_India',b'Rajasek07312446',"['icaiexam', 'ICAI_DENIES_JUSTICE', 'ICAI_DENIES_EQUALITY', 'ICAI_DENIES_SAFETY', 'ICAI_DENIES_SAFTEY']",0
2020-11-19 04:30:45,b'Success delayed is never success denied. #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY  @theicai \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/siu2HSxhEO',b'AmanSofficial',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY']",78
2020-11-19 04:30:44,"b""@OfficeOfDGP Also we are students and not soldiers, there's a reason why we choose to study and not be at the border. Also, did you ask the Council why they aren't responding to our genuine concerns? You too are responsible since you'll have elected them.  #ICAI_DENIES_SAFTEY""",b'nikitagill504',['ICAI_DENIES_SAFTEY'],3
2020-11-19 04:30:34,b'Bother body #ICAI_DENIES_SAFTEY #ICAI_DENIES_EQUALITY #ICAI_DENIES_JUSTICE #icaiexampostponment #icaiexam #no_care https://t.co/Fx6RCKeG4I',b'KavinChand17',"['ICAI_DENIES_SAFTEY', 'ICAI_DENIES_EQUALITY', 'ICAI_DENIES_JUSTICE', 'icaiexampostponment', 'icaiexam', 'no_care']",1
2020-11-19 04:30:13,b'@AnupamPKher It seems like u r on mark for @theicai team #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY #icai_notify_today #icaiexamspostponment #icaipostponecaexams #icai #icaideniesjustice',b'Kriti_24_',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY', 'icai_notify_today', 'icaiexamspostponment', 'icaipostponecaexams', 'icai', 'icaideniesjustice']",8
2020-11-19 04:30:06,"b""This is them indirectly releasing the FAQ which all answers indicating loose intentions for Jan. If they would've released this formally, there would've been another outrage #icaiexams #ICAI_DENIES_EQUALITY #ICAI_DENIES_SAFTEY #ICAI""",b'kiddingVidding',"['icaiexams', 'ICAI_DENIES_EQUALITY', 'ICAI_DENIES_SAFTEY', 'ICAI']",7
2020-11-19 04:29:55,"b'Shame @AniketTalati sir,  @kdhiraj123 sir,    #icaiexams  #ICAI_DENIES_SAFTEY #ICAI_DENIES_EQUALITY  #ICAI https://t.co/DG2hvJIip5'",b'LeanerReader',"['icaiexams', 'ICAI_DENIES_SAFTEY', 'ICAI_DENIES_EQUALITY', 'ICAI']",1
2020-11-19 04:29:45,"b""I am not Related to this curriculum, but still Students are Students, be it a CFA or CA, when Many Institutes came up for Online or deferring to legit time, why Cudn't ICAI?  Do it for you Students. Do care for them, they r Precious. #ICAI_DENIES_SAFTEY  #icaiexamspostponment https://t.co/HkWXwy5ESp""",b'bikramjha2704',"['ICAI_DENIES_SAFTEY', 'icaiexamspostponment']",59
2020-11-19 04:29:42,"b'I have no problem to write exams but @icai should provide safe environment for exam. Be transparent with students , students will definitely support you as usual. #ICAI_DENIES_SAFTEY'",b'Impart_Ashish',['ICAI_DENIES_SAFTEY'],17
2020-11-19 04:29:40,"b""@OfficeOfDGP Most of the CA students r from middle class families who don't have links in hospital, do not have lakhs for treatment in 5 \xf0\x9f\x8c\x9f hospitals.We all have bound ourselves since Covid emerged so now don't want to risk our lives only bcoz icai want exams #icaiexams #ICAI_DENIES_SAFTEY""",b'Proud_Indian132',"['icaiexams', 'ICAI_DENIES_SAFTEY']",56
2020-11-19 04:29:15,b'2 Days to go for COVID DISASTER #ICAI_DENIES_SAFTEY @aajtak @ABPNews @nidhiindiatv @pratimamishra04 @ABPNews  @nsui @neuroayush @AnilSinghvi_',b'TheNatkhatLadka',['ICAI_DENIES_SAFTEY'],22
2020-11-19 04:28:52,b'Students: tweeting from 3 days.....safety measures? Postponement? Kuch toh bolo.......#ICAI_DENIES_SAFTEY #icaiexamspostponment  Le ICAI: https://t.co/t6dH0iHzi6',b'YNC628628',"['ICAI_DENIES_SAFTEY', 'icaiexamspostponment']",4
2020-11-19 04:28:45,"b'Samuthirakani Sir neengala?!!  Mada thailee of the highest order  Feku Sir please take care of this secondary account too, else this too would go down the gutter, the same way your primary account went for spewing shit.  #ICAI_DENIES_EQUALITY  #ICAI_DENIES_SAFTEY https://t.co/1sxs7GQFyK https://t.co/Oxmp9pfMoY'",b'soorya_de',"['ICAI_DENIES_EQUALITY', 'ICAI_DENIES_SAFTEY']",2
2020-11-19 04:28:18,"b""#ICAI_DENIES_SAFTEY  Dear ICAI..... If u can't realise the situations...then u r incompetent to play the role of world 2nd accounting body....decisions must be effective...so that we can choose the right #ICAI_DENIES_SAFTEY  #ICAI_DENIES_EQUALITY  #icaiexamspostponment""",b'AnkitKa73854499',"['ICAI_DENIES_SAFTEY', 'ICAI_DENIES_SAFTEY', 'ICAI_DENIES_EQUALITY', 'icaiexamspostponment']",1
2020-11-19 04:28:16,"b'@OfficeOfDGP @theicai I agree with you sir !!!  Playing with a academic year is not advised,  but playing with students life is recommended. Right ??  Are you grown up than us ??  Then Kindly come to exam centres on all days wearing masks and sanitizers.  #icaiexams #ICAI_DENIES_SAFTEY #icai'",b'11_Cynical',"['icaiexams', 'ICAI_DENIES_SAFTEY', 'icai']",124
2020-11-19 04:28:14,b'So I request u to come with me and invigilate us for 18 days. I think it is ok with u. #icai #ICAI_DENIES_SAFTEY https://t.co/ctbJt7Sfqj',b'priyans96684868',"['icai', 'ICAI_DENIES_SAFTEY']",22
