"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"message";"created_time";"updated_time";"from.name";"created_time";"updated_time";"from.id";"comments.data";"comments.summary.order";"comments.summary.total_count";"comments.summary.can_comment";"id";"shares.count"
"0";"1";"None";"102527030797";"seed";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"102527030797_10159330771785798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"#KarismaKapoor is revisiting throwback memories   (Image courtesy: Instagram)";"2020-11-19T16:00:50+0000";"2020-11-19T16:00:53+0000";"NDTV";"2020-11-19T16:00:50+0000";"2020-11-19T16:00:53+0000";"102527030797";"";"ranked";"0";"True";"102527030797_10159330771785798";""
"1";"3";"1";"102527030797_10159330954585798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"""Beach/Birthday Baby,"" #TaraSutaria captioned her post  (Image courtesy: Instagram)";"2020-11-19T15:43:05+0000";"2020-11-19T15:51:46+0000";"NDTV";"2020-11-19T15:43:05+0000";"2020-11-19T15:51:46+0000";"102527030797";"";"ranked";"3";"True";"102527030797_10159330954585798";""
"1";"4";"1";"102527030797_10159330888035798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"";"2020-11-19T15:07:56+0000";"2020-11-19T15:07:56+0000";"NDTV";"2020-11-19T15:07:56+0000";"2020-11-19T15:07:56+0000";"102527030797";"";"ranked";"0";"True";"102527030797_10159330888035798";""
"1";"5";"1";"102527030797_10159330731020798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"""Smell the sea, feel the sky, let your soul and spirit fly,"" wrote #RakulPreetSingh  (Image courtesy: Instagram)";"2020-11-19T15:00:04+0000";"2020-11-19T15:36:27+0000";"NDTV";"2020-11-19T15:00:04+0000";"2020-11-19T15:36:27+0000";"102527030797";"";"ranked";"8";"True";"102527030797_10159330731020798";""
"1";"6";"1";"102527030797_10159330852795798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"China has established a village 2 km within Bhutan's territory, very close to Doklam where the Chinese and Indian militaries had a tense standoff in 2017, images posted by a senior journalist with the Chinese state media showed on Thursday. In tweets that have since been deleted, Shen Shiwei, a senior producer with Chinese CGTN News, posted the images this morning of the village established in what he said was the Doklam area and later indicated the precise location of the settlement.";"2020-11-19T14:53:36+0000";"2020-11-19T16:02:38+0000";"NDTV";"2020-11-19T14:53:36+0000";"2020-11-19T16:02:38+0000";"102527030797";"";"ranked";"10";"True";"102527030797_10159330852795798";"72"
"1";"7";"1";"102527030797_10159330688255798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"Shah Rukh Khan was spotted at a Mumbai studio recently  (Image courtesy: Twitter)";"2020-11-19T14:49:26+0000";"2020-11-19T15:44:01+0000";"NDTV";"2020-11-19T14:49:26+0000";"2020-11-19T15:44:01+0000";"102527030797";"";"ranked";"12";"True";"102527030797_10159330688255798";"2"
"1";"8";"1";"102527030797_10159330824695798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"The move is particularly worrying for India since it is responsible for the territorial integrity of Bhutan which mains a limited armed force.";"2020-11-19T14:41:32+0000";"2020-11-19T15:54:07+0000";"NDTV";"2020-11-19T14:41:32+0000";"2020-11-19T15:54:07+0000";"102527030797";"";"ranked";"10";"True";"102527030797_10159330824695798";"21"
"1";"9";"1";"102527030797_10159330631365798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"""I always look forward to catching up with you,"" wrote #CharuAsopa  (Image courtesy: Instagram)";"2020-11-19T14:30:43+0000";"2020-11-19T14:30:46+0000";"NDTV";"2020-11-19T14:30:43+0000";"2020-11-19T14:30:46+0000";"102527030797";"";"ranked";"0";"True";"102527030797_10159330631365798";""
"1";"10";"1";"102527030797_10159330569300798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"Hint: Not Saif Ali Khan  (Image courtesy: Instagram)";"2020-11-19T14:00:32+0000";"2020-11-19T14:00:34+0000";"NDTV";"2020-11-19T14:00:32+0000";"2020-11-19T14:00:34+0000";"102527030797";"";"ranked";"1";"True";"102527030797_10159330569300798";""
"1";"11";"1";"102527030797_10159330737445798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"Competition was fierce among Jungkook (South Korea), Dan Levy (Canada), Keith Urban (Australia), Matthew Rhys (Wales) and Paul Mescal (Ireland) for People Magazine’s Sexiest International Man 2020 - but the BTS star took home the win. . . . #bts #jungkook #sexiestman";"2020-11-19T13:53:20+0000";"2020-11-19T16:02:36+0000";"NDTV";"2020-11-19T13:53:20+0000";"2020-11-19T16:02:36+0000";"102527030797";"";"ranked";"96";"True";"102527030797_10159330737445798";"12"
"1";"12";"1";"102527030797_10159330728050798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"Ahmedabad night curfew: It will come into effect from Friday and will stay on indefinitely as COVID-19 cases rise";"2020-11-19T13:48:26+0000";"2020-11-19T13:53:03+0000";"NDTV";"2020-11-19T13:48:26+0000";"2020-11-19T13:53:03+0000";"102527030797";"";"ranked";"2";"True";"102527030797_10159330728050798";"3"
"1";"13";"1";"102527030797_10159330724395798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"";"2020-11-19T13:46:12+0000";"2020-11-19T15:48:33+0000";"NDTV";"2020-11-19T13:46:12+0000";"2020-11-19T15:48:33+0000";"102527030797";"";"ranked";"9";"True";"102527030797_10159330724395798";""
"1";"14";"1";"102527030797_10159330721935798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"";"2020-11-19T13:44:56+0000";"2020-11-19T13:44:56+0000";"NDTV";"2020-11-19T13:44:56+0000";"2020-11-19T13:44:56+0000";"102527030797";"";"ranked";"0";"True";"102527030797_10159330721935798";""
"1";"15";"1";"102527030797_10159330696000798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"The forum will include a two-day virtual conference on renewable and future energy choices and an exhibition of manufacturers, developers, investors and innovators engaged in the clean energy sector.";"2020-11-19T13:32:18+0000";"2020-11-19T14:19:37+0000";"NDTV";"2020-11-19T13:32:18+0000";"2020-11-19T14:19:37+0000";"102527030797";"";"ranked";"18";"True";"102527030797_10159330696000798";"1"
"1";"16";"1";"102527030797_10159330694135798";"data";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"The resolution recognised the significance of the genuine autonomy of Tibet and the Tibetan people, and the work done by 14th Dalai Lama to promote global peace, harmony and understanding.";"2020-11-19T13:31:34+0000";"2020-11-19T13:31:34+0000";"NDTV";"2020-11-19T13:31:34+0000";"2020-11-19T13:31:34+0000";"102527030797";"";"ranked";"1";"True";"102527030797_10159330694135798";"5"
"1";"17";"1";"102527030797";"offcut";"fetched (200)";"2020-11-19 21:35:34.086431";"Facebook:/<page-id>/posts";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"18";"1";"102527030797_10159330771785798";"data";"fetched (200)";"2020-11-19 21:35:59.469209";"Facebook:/<page-id>/posts";"#KarismaKapoor is revisiting throwback memories   (Image courtesy: Instagram)";"2020-11-19T16:00:50+0000";"2020-11-19T16:00:53+0000";"NDTV";"2020-11-19T16:00:50+0000";"2020-11-19T16:00:53+0000";"102527030797";"";"ranked";"0";"True";"102527030797_10159330771785798";""
"1";"19";"1";"102527030797_10159330954585798";"data";"fetched (200)";"2020-11-19 21:35:59.469209";"Facebook:/<page-id>/posts";"""Beach/Birthday Baby,"" #TaraSutaria captioned her post  (Image courtesy: Instagram)";"2020-11-19T15:43:05+0000";"2020-11-19T15:51:46+0000";"NDTV";"2020-11-19T15:43:05+0000";"2020-11-19T15:51:46+0000";"102527030797";"";"ranked";"3";"True";"102527030797_10159330954585798";""
"1";"20";"1";"102527030797_10159330888035798";"data";"fetched (200)";"2020-11-19 21:35:59.469209";"Facebook:/<page-id>/posts";"";"2020-11-19T15:07:56+0000";"2020-11-19T15:07:56+0000";"NDTV";"2020-11-19T15:07:56+0000";"2020-11-19T15:07:56+0000";"102527030797";"";"ranked";"0";"True";"102527030797_10159330888035798";""
"1";"21";"1";"102527030797_10159330731020798";"data";"fetched (200)";"2020-11-19 21:35:59.469209";"Facebook:/<page-id>/posts";"""Smell the sea, feel the sky, let your soul and spirit fly,"" wrote #RakulPreetSingh  (Image courtesy: Instagram)";"2020-11-19T15:00:04+0000";"2020-11-19T15:36:27+0000";"NDTV";"2020-11-19T15:00:04+0000";"2020-11-19T15:36:27+0000";"102527030797";"";"ranked";"8";"True";"102527030797_10159330731020798";""
"1";"22";"1";"102527030797_10159330852795798";"data";"fetched (200)";"2020-11-19 21:35:59.469209";"Facebook:/<page-id>/posts";"China has established a village 2 km within Bhutan's territory, very close to Doklam where the Chinese and Indian militaries had a tense standoff in 2017, images posted by a senior journalist with the Chinese state media showed on Thursday. In tweets that have since been deleted, Shen Shiwei, a senior producer with Chinese CGTN News, posted the images this morning of the village established in what he said was the Doklam area and later indicated the precise location of the settlement.";"2020-11-19T14:53:36+0000";"2020-11-19T16:02:38+0000";"NDTV";"2020-11-19T14:53:36+0000";"2020-11-19T16:02:38+0000";"102527030797";"";"ranked";"10";"True";"102527030797_10159330852795798";"72"
"1";"23";"1";"102527030797_10159330688255798";"data";"fetched (200)";"2020-11-19 21:35:59.469209";"Facebook:/<page-id>/posts";"Shah Rukh Khan was spotted at a Mumbai studio recently  (Image courtesy: Twitter)";"2020-11-19T14:49:26+0000";"2020-11-19T15:44:01+0000";"NDTV";"2020-11-19T14:49:26+0000";"2020-11-19T15:44:01+0000";"102527030797";"";"ranked";"12";"True";"102527030797_10159330688255798";"2"
"1";"24";"1";"102527030797_10159330824695798";"data";"fetched (200)";"2020-11-19 21:35:59.469209";"Facebook:/<page-id>/posts";"The move is particularly worrying for India since it is responsible for the territorial integrity of Bhutan which mains a limited armed force.";"2020-11-19T14:41:32+0000";"2020-11-19T15:54:07+0000";"NDTV";"2020-11-19T14:41:32+0000";"2020-11-19T15:54:07+0000";"102527030797";"";"ranked";"10";"True";"102527030797_10159330824695798";"21"
"1";"25";"1";"102527030797_10159330631365798";"data";"fetched (200)";"2020-11-19 21:35:59.469209";"Facebook:/<page-id>/posts";"""I always look forward to catching up with you,"" wrote #CharuAsopa  (Image courtesy: Instagram)";"2020-11-19T14:30:43+0000";"2020-11-19T14:30:46+0000";"NDTV";"2020-11-19T14:30:43+0000";"2020-11-19T14:30:46+0000";"102527030797";"";"ranked";"0";"True";"102527030797_10159330631365798";""
"1";"26";"1";"102527030797_10159330569300798";"data";"fetched (200)";"2020-11-19 21:35:59.469209";"Facebook:/<page-id>/posts";"Hint: Not Saif Ali Khan  (Image courtesy: Instagram)";"2020-11-19T14:00:32+0000";"2020-11-19T14:00:34+0000";"NDTV";"2020-11-19T14:00:32+0000";"2020-11-19T14:00:34+0000";"102527030797";"";"ranked";"1";"True";"102527030797_10159330569300798";""
"1";"27";"1";"102527030797_10159330737445798";"data";"fetched (200)";"2020-11-19 21:35:59.469209";"Facebook:/<page-id>/posts";"Competition was fierce among Jungkook (South Korea), Dan Levy (Canada), Keith Urban (Australia), Matthew Rhys (Wales) and Paul Mescal (Ireland) for People Magazine’s Sexiest International Man 2020 - but the BTS star took home the win. . . . #bts #jungkook #sexiestman";"2020-11-19T13:53:20+0000";"2020-11-19T16:02:36+0000";"NDTV";"2020-11-19T13:53:20+0000";"2020-11-19T16:02:36+0000";"102527030797";"";"ranked";"96";"True";"102527030797_10159330737445798";"12"
