"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"message";"created_time";"updated_time";"from.name";"created_time";"updated_time";"from.id";"comments.data";"comments.summary.order";"comments.summary.total_count";"comments.summary.can_comment";"id";"shares.count"
"0";"1";"None";"26781952138";"seed";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"26781952138_10159281749427139";"data";"fetched (200)";"2020-11-19 20:33:09.774451";"Facebook:/<page-id>/posts";"""We will regard the global, anti-Israel BDS campaign as anti-Semitic,"" Pompeo said, referring to the Boycott, Divestment and Sanctions movement.";"2020-11-19T15:00:01+0000";"2020-11-19T15:00:06+0000";"The Times of India";"2020-11-19T15:00:01+0000";"2020-11-19T15:00:06+0000";"26781952138";"";"ranked";"0";"True";"26781952138_10159281749427139";""
"1";"3";"1";"26781952138_10159281931667139";"data";"fetched (200)";"2020-11-19 20:33:09.774451";"Facebook:/<page-id>/posts";"Here's what #KrishnaShroff thinks about brother Tiger Shroff missing his target 3 out of 4 times";"2020-11-19T14:53:11+0000";"2020-11-19T14:53:11+0000";"The Times of India";"2020-11-19T14:53:11+0000";"2020-11-19T14:53:11+0000";"26781952138";"";"ranked";"0";"True";"26781952138_10159281931667139";""
"1";"4";"1";"26781952138_10159281729902139";"data";"fetched (200)";"2020-11-19 20:33:09.774451";"Facebook:/<page-id>/posts";"Sharif has been in London since November 2019 after getting bail from the court on medical grounds.";"2020-11-19T14:45:00+0000";"2020-11-19T14:45:05+0000";"The Times of India";"2020-11-19T14:45:00+0000";"2020-11-19T14:45:05+0000";"26781952138";"";"ranked";"0";"True";"26781952138_10159281729902139";""
"1";"5";"1";"26781952138_10159281874552139";"data";"fetched (200)";"2020-11-19 20:33:09.774451";"Facebook:/<page-id>/posts";"""Modi government's report card: At the forefront in corona mortality, the lowest in GDP rate,"" he said in a tweet in Hindi.";"2020-11-19T14:40:11+0000";"2020-11-19T15:02:35+0000";"The Times of India";"2020-11-19T14:40:11+0000";"2020-11-19T15:02:35+0000";"26781952138";"";"ranked";"57";"True";"26781952138_10159281874552139";"2"
"1";"6";"1";"26781952138_10159281894002139";"data";"fetched (200)";"2020-11-19 20:33:09.774451";"Facebook:/<page-id>/posts";"";"2020-11-19T14:32:23+0000";"2020-11-19T14:32:23+0000";"The Times of India";"2020-11-19T14:32:23+0000";"2020-11-19T14:32:23+0000";"26781952138";"";"ranked";"0";"True";"26781952138_10159281894002139";"5"
"1";"7";"1";"26781952138_10159281893472139";"data";"fetched (200)";"2020-11-19 20:33:09.774451";"Facebook:/<page-id>/posts";"";"2020-11-19T14:32:07+0000";"2020-11-19T14:32:07+0000";"The Times of India";"2020-11-19T14:32:07+0000";"2020-11-19T14:32:07+0000";"26781952138";"";"ranked";"0";"True";"26781952138_10159281893472139";""
"1";"8";"1";"26781952138_10159281890922139";"data";"fetched (200)";"2020-11-19 20:33:09.774451";"Facebook:/<page-id>/posts";"A look at other contestants whose friendship went kaput over the past few seasons";"2020-11-19T14:30:22+0000";"2020-11-19T14:39:23+0000";"The Times of India";"2020-11-19T14:30:22+0000";"2020-11-19T14:39:23+0000";"26781952138";"";"ranked";"1";"True";"26781952138_10159281890922139";""
"1";"9";"1";"26781952138_10159281704537139";"data";"fetched (200)";"2020-11-19 20:33:09.774451";"Facebook:/<page-id>/posts";"One alternate cure that has been making the rounds for a couple of years is about how ‘Cow Urine’ or ‘Gaumutra’ can help cure cancer";"2020-11-19T14:30:01+0000";"2020-11-19T14:38:07+0000";"The Times of India";"2020-11-19T14:30:01+0000";"2020-11-19T14:38:07+0000";"26781952138";"";"ranked";"1";"True";"26781952138_10159281704537139";""
"1";"10";"1";"26781952138_10159281707722139";"data";"fetched (200)";"2020-11-19 20:33:09.774451";"Facebook:/<page-id>/posts";"""I still feel I'm getting better and still feel like I've got a lot of cricket to offer Cricket Australia,"" said Lyon, who turns 33 on Friday.";"2020-11-19T14:30:00+0000";"2020-11-19T14:30:04+0000";"The Times of India";"2020-11-19T14:30:00+0000";"2020-11-19T14:30:04+0000";"26781952138";"";"ranked";"0";"True";"26781952138_10159281707722139";""
"1";"11";"1";"26781952138_10159281887102139";"data";"fetched (200)";"2020-11-19 20:33:09.774451";"Facebook:/<page-id>/posts";"Latest #Bollywood updates...";"2020-11-19T14:28:18+0000";"2020-11-19T14:39:29+0000";"The Times of India";"2020-11-19T14:28:18+0000";"2020-11-19T14:39:29+0000";"26781952138";"";"ranked";"2";"True";"26781952138_10159281887102139";""
"1";"12";"1";"26781952138_10159281848222139";"data";"fetched (200)";"2020-11-19 20:33:09.774451";"Facebook:/<page-id>/posts";"Pune: St. Patrick's Cathedral reopens after 8 months";"2020-11-19T14:26:00+0000";"2020-11-19T14:32:29+0000";"The Times of India";"2020-11-19T14:26:00+0000";"2020-11-19T14:32:29+0000";"26781952138";"";"ranked";"2";"True";"26781952138_10159281848222139";""
