"level","id","parent_id","object_id","object_type","query_status","query_time","query_type","message","from.name","from.id","created_time","updated_time","comments.data","comments.summary.order","comments.summary.total_count","comments.summary.can_comment","id"
"0","1","","7382473689","seed","","","","","","","","","","","","",""
"1","2","1","7382473689_10159507220768690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","“Right-wing extremism is the biggest threat to our security – across Europe.” German Foreign Minister Heiko Maas","Al Jazeera English","7382473689","2020-11-20T20:00:50+0000","2020-11-20T20:01:52+0000","","ranked","3","True","7382473689_10159507220768690"
"1","3","1","7382473689_10159507155863690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","War-torn Yemen is in imminent danger of the worst famine the world has seen in decades, the UN warns https://aje.io/zz9k2","Al Jazeera English","7382473689","2020-11-20T19:31:40+0000","2020-11-20T20:08:25+0000","","ranked","46","True","7382473689_10159507155863690"
"1","4","1","7382473689_10159507110618690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","Some 4,000 prisoners, most of them charged with terrorism offences, are believed to be on death row in Iraq, according to UN experts.","Al Jazeera English","7382473689","2020-11-20T19:14:29+0000","2020-11-20T20:10:35+0000","","ranked","46","True","7382473689_10159507110618690"
"1","5","1","7382473689_10159506998603690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","The preparations for World Cup 2022 in Qatar continue apace amid the COVID-19 pandemic 👇","Al Jazeera English","7382473689","2020-11-20T18:15:51+0000","2020-11-20T20:07:13+0000","","ranked","24","True","7382473689_10159506998603690"
"1","6","1","7382473689_10159506890543690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","""Republicans will do everything they can to undermine possible bipartisan consensus on Democratic initiatives.""— writes Anna Jacobs, for #AJOpinion","Al Jazeera English","7382473689","2020-11-20T17:30:05+0000","2020-11-20T19:53:23+0000","","ranked","15","True","7382473689_10159506890543690"
"1","7","1","7382473689_10159506778678690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","Amid criticism over its human rights record, Saudi Arabia needs to diversify its economy and it does not have long to do it 👇","Al Jazeera English","7382473689","2020-11-20T17:00:48+0000","2020-11-20T20:10:02+0000","","ranked","16","True","7382473689_10159506778678690"
"1","8","1","7382473689_10159506740793690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","""Threatening to block government funds to groups that criticise Israel is blatantly unconstitutional."" - ACLU","Al Jazeera English","7382473689","2020-11-20T16:45:32+0000","2020-11-20T20:07:16+0000","","ranked","27","True","7382473689_10159506740793690"
"1","9","1","7382473689_10159506382658690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","Lebanese journalist Samir Kassir paid the ultimate price for his work when he was killed by a car bomb outside his Beirut home in 2005. This is his story.

Full film via Al Jazeera World: https://aje.io/clvf5","Al Jazeera English","7382473689","2020-11-20T16:30:26+0000","2020-11-20T18:48:40+0000","","ranked","10","True","7382473689_10159506382658690"
"1","10","1","7382473689_10159506639453690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","As India's gov't continues the ban on high-speed 4G internet on all mobile networks in Kashmir, meet the techies who created apps to overcome the problem 👇","Al Jazeera English","7382473689","2020-11-20T16:01:09+0000","2020-11-20T20:08:34+0000","","ranked","82","True","7382473689_10159506639453690"
"1","11","1","7382473689_10159506567883690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","Police in South Africa fired tear gas at opposition activists protesting against an alleged ""whites-only"" school party in Cape Town. ⬇️","Al Jazeera English","7382473689","2020-11-20T15:30:50+0000","2020-11-20T20:11:58+0000","","ranked","205","True","7382473689_10159506567883690"
"1","12","1","7382473689_10159506225138690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","“Let’s rethink the concept of genocide.”

 #AJOpinion hears from British lawyer Philippe Sands on the 75th anniversary of the Nuremberg trials.","Al Jazeera English","7382473689","2020-11-20T15:00:01+0000","2020-11-20T19:30:09+0000","","ranked","10","True","7382473689_10159506225138690"
"1","13","1","7382473689_10159506445473690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","UN agencies are planning for the possible arrival of 200,000 refugees in Sudan that are fleeing violence in Ethiopia aje.io/qeh9y","Al Jazeera English","7382473689","2020-11-20T14:30:01+0000","2020-11-20T20:05:08+0000","","ranked","215","True","7382473689_10159506445473690"
"1","14","1","7382473689_10159506435873690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","Uganda's presidential candidate Bobi Wine has been released on bail as the death toll in protests over his arrest rises to 37 ⬇️","Al Jazeera English","7382473689","2020-11-20T14:15:20+0000","2020-11-20T19:57:23+0000","","ranked","248","True","7382473689_10159506435873690"
"1","15","1","7382473689_10159506392818690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","Critics warn France's new security bill could undermine efforts to stamp out police-led violence, freedom of press, and the public's right to be informed.👇","Al Jazeera English","7382473689","2020-11-20T14:00:16+0000","2020-11-20T19:57:29+0000","","ranked","35","True","7382473689_10159506392818690"
"1","16","1","7382473689_10159506319368690","data","fetched (200)","2020-11-21 01:42:56.460966","Facebook:/<page-id>/posts","Has the COVID-19 pandemic forced us to reevaluate our world?

 In season 2 of ‘All Hail’, Ali Rae explores the complexities of our global response to the coronavirus.

Tune in for the first episode of #AllHailTheLockdown on Monday!","Al Jazeera English","7382473689","2020-11-20T13:40:24+0000","2020-11-20T19:26:02+0000","","ranked","18","True","7382473689_10159506319368690"
