"level","id","parent_id","object_id","object_type","query_status","query_time","query_type","message","from.name","from.id","created_time","updated_time","comments.data","comments.summary.order","comments.summary.total_count","comments.summary.can_comment","id"
"0","1","","86680728811","seed","","","","","","","","","","","","",""
"1","2","1","86680728811_10160445871643812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","""We haven't seen anything like this in the modern era—a sitting president trying to basically subvert the election.”
 
Pres. Donald J. Trump’s efforts to flip Michigan election results raise significant legal, ethical questions, experts tell ABC News. https://abcn.ws/3pMCEz4","ABC News","86680728811","2020-11-20T19:32:02+0000","2020-11-20T20:27:29+0000","","ranked","510","True","86680728811_10160445871643812"
"1","3","1","86680728811_10160445863743812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","OFFER A LIFT: A loader in Alexandria, Egypt, served as a novel mode of transportation for residents as water flooded a busy roadway from heavy rainfall in the area. https://abcn.ws/3kY4YLn","ABC News","86680728811","2020-11-20T19:27:44+0000","2020-11-20T20:26:58+0000","","ranked","7","True","86680728811_10160445863743812"
"1","4","1","86680728811_10160445804988812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","How Thanksgiving could supercharge COVID-19 transmission rates: https://abcn.ws/3nLpBfc","ABC News","86680728811","2020-11-20T18:58:02+0000","2020-11-20T20:27:04+0000","","ranked","40","True","86680728811_10160445804988812"
"1","5","1","86680728811_10160445759868812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","Why even a small Thanksgiving could be dangerous, via FiveThirtyEight: https://abcn.ws/2HleQRx","ABC News","86680728811","2020-11-20T18:31:39+0000","2020-11-20T20:27:25+0000","","ranked","138","True","86680728811_10160445759868812"
"1","6","1","86680728811_10160445497593812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","“I thought there was going to be a lot more charges for a lot more officers.""

Grand jurors in the #BreonnaTaylor case recall the ""uproar"" in the jury room when no homicide charges were presented, in a new ABC News and Courier Journal interview. #ABC2020 #SayHerName https://abcn.ws/3nxCGc8","ABC News","86680728811","2020-11-20T18:00:06+0000","2020-11-20T20:26:44+0000","","ranked","8","True","86680728811_10160445497593812"
"1","7","1","86680728811_10160445652628812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","UPDATE: In a new press release, Georgia issues correction, says general election results will be certified today; the certification has not occurred yet. abcn.ws/3fkztcR","ABC News","86680728811","2020-11-20T17:39:49+0000","2020-11-20T20:27:32+0000","","ranked","620","True","86680728811_10160445652628812"
"1","8","1","86680728811_10160445622503812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","Treasury Sec. Steven Mnuchin says he will not extend a handful of the emergency lending programs the Federal Reserve implemented earlier this year to buoy the economy amid the coronavirus pandemic.","ABC News","86680728811","2020-11-20T17:23:46+0000","2020-11-20T20:26:37+0000","","ranked","144","True","86680728811_10160445622503812"
"1","9","1","86680728811_10160445583723812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","In an effort to overturn his election loss, President Trump has invited Michigan's top state lawmakers to visit the White House today for a meeting. The extraordinary maneuver comes as the Trump team runs out of legal options over baseless claims the election was rigged.

PLUS, more than 150,000 Americans have now died from Covid-19. A stunning ABC News investigation looks at the communities hit the hardest by the disease.

Like On Location for new episodes","ABC News","86680728811","2020-11-20T17:05:26+0000","2020-11-20T20:26:59+0000","","ranked","295","True","86680728811_10160445583723812"
"1","10","1","86680728811_10160445577078812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","Not even a global pandemic can get in the way of Santa's sleigh, according to Dr. Anthony Fauci. https://abcn.ws/3932UiO","ABC News","86680728811","2020-11-20T17:01:57+0000","2020-11-20T20:26:47+0000","","ranked","66","True","86680728811_10160445577078812"
"1","11","1","86680728811_10160445515603812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","NEW: Border Patrol emails obtained by ABC News offer a rare glimpse into how quickly government agencies usually take action to prepare for a new administration—efforts current officials say are on hold right now across the U.S. government. https://abcn.ws/36QDsKI","ABC News","86680728811","2020-11-20T16:37:03+0000","2020-11-20T20:26:52+0000","","ranked","127","True","86680728811_10160445515603812"
"1","12","1","86680728811_10160445495413812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","""To know her is to love her. She's so much like me, but she's so much better than me."" Breonna Taylor's mother Tamika Palmer and other loved ones share about her impact, during an ABC News and Courier Journal special #ABC2020. #SayHerName #BreonnaTaylor https://abcn.ws/3nxCGc8","ABC News","86680728811","2020-11-20T16:27:10+0000","2020-11-20T19:29:30+0000","","ranked","22","True","86680728811_10160445495413812"
"1","13","1","86680728811_10160445469443812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","NEW: Joe Biden announces four new members of his incoming senior staff, forging ahead with his transition to the White House despite the Trump administration blocking his ascertainment as president-elect.","ABC News","86680728811","2020-11-20T16:14:56+0000","2020-11-20T20:22:47+0000","","ranked","91","True","86680728811_10160445469443812"
"1","14","1","86680728811_211242187027810","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","HAPPENING NOW: House Speaker Nancy Pelosi holds weekly press conference. https://abcn.ws/36SytZP","ABC News","86680728811","2020-11-20T16:05:47+0000","2020-11-20T20:23:54+0000","","ranked","392","True","86680728811_211242187027810"
"1","15","1","86680728811_215501843427120","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","HAPPENING NOW: House Speaker Nancy Pelosi holds weekly news briefing. https://abcn.ws/2K0BLjq","ABC News","86680728811","2020-11-20T16:05:43+0000","2020-11-20T20:25:54+0000","","ranked","574","True","86680728811_215501843427120"
"1","16","1","86680728811_10160445424938812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","In a pre-recorded video message, Alex Trebek urged anyone who has experienced symptoms of pancreatic cancer to seek out medical attention and get tested.","ABC News","86680728811","2020-11-20T15:57:25+0000","2020-11-20T19:04:28+0000","","ranked","23","True","86680728811_10160445424938812"
"1","17","1","86680728811_10160445358978812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","""The inability to save a patient despite doing everything you can is mentally exhausting. Now imagine doing that on repeat for eight months and counting.""","ABC News","86680728811","2020-11-20T15:31:12+0000","2020-11-20T19:52:16+0000","","ranked","38","True","86680728811_10160445358978812"
"1","18","1","86680728811_10160445333393812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","Gusty, warm winds and dry conditions help spread a new wildfire in the West, this time in Colorado Springs.

As of this morning, the Bear Creek Fire is 50% contained thanks to an aggressive aerial attack by firefighters.

Read more: https://abcn.ws/2UH3cn4","ABC News","86680728811","2020-11-20T15:18:07+0000","2020-11-20T18:49:55+0000","","ranked","23","True","86680728811_10160445333393812"
"1","19","1","86680728811_10160445307323812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","SNOWY SIMIANS: After the Denver Zoo was dressed in a fresh coat of snow, some of their western lowland gorillas couldn't contain their excitement to play in the wintry wonderland. https://abcn.ws/3pLM6Tk","ABC News","86680728811","2020-11-20T15:15:00+0000","2020-11-20T20:20:03+0000","","ranked","70","True","86680728811_10160445307323812"
"1","20","1","86680728811_10160445312938812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","NEW: Sen. Rick Scott tests positive for COVID-19—the eighth member of Congress to test positive just this week. https://abcn.ws/391rCzS","ABC News","86680728811","2020-11-20T15:06:53+0000","2020-11-20T20:18:56+0000","","ranked","236","True","86680728811_10160445312938812"
"1","21","1","86680728811_10160445304558812","data","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","NEW: Georgia Sec. of State Brad Raffensperger says he's ""disappointed"" Pres. Donald J. Trump lost the state, but as an engineer, ""I live by the motto that numbers don't lie. As Secretary of State, I believe that the numbers that we have presented today are correct.""

Georgia's audit of the presidential vote ""upheld and reaffirmed the original outcome"" that Joe Biden won, Raffensperger's office said Thursday night. abcn.ws/38Zl0SM","ABC News","86680728811","2020-11-20T15:02:37+0000","2020-11-20T20:27:16+0000","","ranked","1153","True","86680728811_10160445304558812"
"1","22","1","86680728811","offcut","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","","","","","","","","","",""
"1","23","1","86680728811","headers","fetched (200)","2020-11-21 01:57:37.615958","Facebook:/<page-id>/posts","","","","","","","","","",""
